order_item_id,order_id,product_id,quantity,unit_price
ITEM0000001,ORD000001,PROD0026,2,585.88
ITEM0000002,ORD000001,PROD0097,-1,53.1
ITEM0000003,ORD000002,PROD0053,3,292.19
ITEM0000004,ORD000002,PROD0037,2,540.32
ITEM0000005,ORD000003,PROD0090,5,51.56
ITEM0000006,ORD000003,PROD0108,5,332.49
ITEM0000007,ORD000003,PROD0002,5,112.42
ITEM0000008,ORD000004,PROD0122,2,484.26
ITEM0000009,ORD000004,PROD0128,1,403.21
ITEM0000010,ORD000005,PROD0012,2,589.04
ITEM0000011,ORD000005,PROD0027,5,356.31
ITEM0000012,ORD000005,PROD0014,4,16.7
ITEM0000013,ORD000005,PROD0138,2,43.7
ITEM0000014,ORD000006,PROD0061,4,683.51
ITEM0000015,ORD000007,PROD0112,2,308.35
ITEM0000016,ORD000008,PROD0092,2,557.9
ITEM0000017,ORD000008,PROD0070,5,271.29
ITEM0000018,ORD000009,PROD0057,5,632.78
ITEM0000019,ORD000009,PROD0076,5,277.07
ITEM0000020,ORD000009,PROD0041,5,438.01
ITEM0000021,ORD000010,PROD0064,2,411.35
ITEM0000022,ORD000010,PROD0084,2,464.44
ITEM0000023,ORD000010,PROD0112,4,308.35
ITEM0000024,ORD000010,PROD0149,4,139.28
ITEM0000025,ORD000011,PROD0116,4,366.52
ITEM0000026,ORD000012,PROD0092,2,557.9
ITEM0000027,ORD000012,PROD0076,4,277.07
ITEM0000028,ORD000013,PROD0117,4,130.11
ITEM0000029,ORD000014,PROD0019,4,443.45
ITEM0000030,ORD000015,PROD0021,1,487.35
ITEM0000031,ORD000015,PROD0086,3,203.78
ITEM0000032,ORD000016,PROD0045,5,66.57
ITEM0000033,ORD000016,PROD0144,3,105.68
ITEM0000034,ORD000016,PROD0018,4,119.66
ITEM0000035,ORD000017,PROD0069,3,619.75
ITEM0000036,ORD000017,PROD0129,4,246.64
ITEM0000037,ORD000017,PROD0109,1,126.44
ITEM0000038,ORD000018,PROD0017,1,234.28
ITEM0000039,ORD000018,PROD0049,3,106.04
ITEM0000040,ORD000018,PROD0118,2,58.39
ITEM0000041,ORD000019,PROD0076,4,277.07
ITEM0000042,ORD000020,PROD0075,2,383.73
ITEM0000043,ORD000021,PROD0149,5,139.28
ITEM0000044,ORD000021,PROD0088,5,51.09
ITEM0000045,ORD000021,PROD0084,2,464.44
ITEM0000046,ORD000021,PROD0125,3,377.98
ITEM0000047,ORD000022,PROD0117,5,130.11
ITEM0000048,ORD000022,PROD0043,2,251.98
ITEM0000049,ORD000022,PROD0042,3,394.4
ITEM0000050,ORD000023,PROD0082,3,196.55
ITEM0000051,ORD000024,PROD0128,-2,403.21
ITEM0000052,ORD000024,PROD0038,5,216.74
ITEM0000053,ORD000024,PROD0118,4,58.39
ITEM0000054,ORD000024,PROD0082,5,196.55
ITEM0000055,ORD000025,PROD0011,3,325.01
ITEM0000056,ORD000025,PROD0036,2,33.3
ITEM0000057,ORD000025,PROD0142,1,347.19
ITEM0000058,ORD000025,PROD0030,5,314.5
ITEM0000059,ORD000026,PROD0023,4,414.75
ITEM0000060,ORD000026,PROD0132,1,316.5
ITEM0000061,ORD000026,PROD0101,2,182.81
ITEM0000062,ORD000026,PROD0050,4,235.27
ITEM0000063,ORD000027,PROD0114,4,45.61
ITEM0000064,ORD000027,PROD0107,4,462.67
ITEM0000065,ORD000028,PROD0017,1,234.28
ITEM0000066,ORD000028,PROD0097,4,53.1
ITEM0000067,ORD000028,PROD0023,5,414.75
ITEM0000068,ORD000029,PROD0011,5,325.01
ITEM0000069,ORD000029,PROD0078,1,57.56
ITEM0000070,ORD000029,PROD0150,4,88.94
ITEM0000071,ORD000029,PROD0127,3,9.71
ITEM0000072,ORD000030,PROD0093,5,573.11
ITEM0000073,ORD000031,PROD0096,5,321.49
ITEM0000074,ORD000032,PROD0119,2,103.02
ITEM0000075,ORD000032,PROD0035,3,27.57
ITEM0000076,ORD000032,PROD0092,1,557.9
ITEM0000077,ORD000033,PROD0140,3,496.11
ITEM0000078,ORD000033,PROD0083,3,306.64
ITEM0000079,ORD000034,PROD0004,5,129.15
ITEM0000080,ORD000034,PROD0036,4,33.3
ITEM0000081,ORD000035,PROD0144,5,105.68
ITEM0000082,ORD000035,PROD0135,1,427.2
ITEM0000083,ORD000036,PROD0080,4,392.58
ITEM0000084,ORD000036,PROD0093,3,573.11
ITEM0000085,ORD000036,PROD0036,1,33.3
ITEM0000086,ORD000037,PROD0034,4,303.7
ITEM0000087,ORD000037,PROD0021,1,487.35
ITEM0000088,ORD000038,PROD0121,1,287.5
ITEM0000089,ORD000039,PROD0053,5,292.19
ITEM0000090,ORD000040,PROD0149,2,139.28
ITEM0000091,ORD000040,PROD0090,5,51.56
ITEM0000092,ORD000040,PROD0091,1,161.11
ITEM0000093,ORD000041,PROD0138,1,43.7
ITEM0000094,ORD000041,PROD0002,4,112.42
ITEM0000095,ORD000042,PROD0098,5,351.41
ITEM0000096,ORD000042,PROD0109,3,126.44
ITEM0000097,ORD000042,PROD0055,2,408.1
ITEM0000098,ORD000043,PROD0127,3,9.71
ITEM0000099,ORD000043,PROD0030,4,314.5
ITEM0000100,ORD000043,PROD0099,4,386.23
ITEM0000101,ORD000044,PROD0027,1,356.31
ITEM0000102,ORD000044,PROD0102,5,266.91
ITEM0000103,ORD000044,PROD0113,2,320.56
ITEM0000104,ORD000044,PROD0134,3,192.47
ITEM0000105,ORD000045,PROD0072,3,226.81
ITEM0000106,ORD000045,PROD0149,4,139.28
ITEM0000107,ORD000045,PROD0070,2,271.29
ITEM0000108,ORD000045,PROD0103,3,305.68
ITEM0000109,ORD000046,PROD0128,1,403.21
ITEM0000110,ORD000047,PROD0020,5,124.89
ITEM0000111,ORD000048,PROD0139,1,135.03
ITEM0000112,ORD000048,PROD0088,4,51.09
ITEM0000113,ORD000048,PROD0140,4,496.11
ITEM0000114,ORD000049,PROD0043,2,251.98
ITEM0000115,ORD000049,PROD0126,1,263.88
ITEM0000116,ORD000049,PROD0111,5,408.22
ITEM0000117,ORD000050,PROD0068,3,422.88
ITEM0000118,ORD000050,PROD0127,1,9.71
ITEM0000119,ORD000050,PROD0097,5,53.1
ITEM0000120,ORD000050,PROD0091,3,161.11
ITEM0000121,ORD000051,PROD0064,3,411.35
ITEM0000122,ORD000051,PROD0061,1,683.51
ITEM0000123,ORD000052,PROD0109,3,126.44
ITEM0000124,ORD000052,PROD0146,1,292.2
ITEM0000125,ORD000052,PROD0132,4,316.5
ITEM0000126,ORD000052,PROD0108,4,332.49
ITEM0000127,ORD000053,PROD0077,4,286.06
ITEM0000128,ORD000053,PROD0094,1,393.51
ITEM0000129,ORD000054,PROD0058,5,356.49
ITEM0000130,ORD000054,PROD0024,5,594.24
ITEM0000131,ORD000054,PROD0149,1,139.28
ITEM0000132,ORD000054,PROD0025,3,23.62
ITEM0000133,ORD000055,PROD0141,2,19.31
ITEM0000134,ORD000055,PROD0047,4,288.09
ITEM0000135,ORD000055,PROD0005,5,196.98
ITEM0000136,ORD000055,PROD0133,5,317.22
ITEM0000137,ORD000056,PROD0077,4,286.06
ITEM0000138,ORD000056,PROD0112,1,308.35
ITEM0000139,ORD000057,PROD0061,1,683.51
ITEM0000140,ORD000057,PROD0104,3,66.01
ITEM0000141,ORD000057,PROD0062,4,355.88
ITEM0000142,ORD000058,PROD0072,1,226.81
