order_id,customer_id,order_date,channel,status
ORD000001,CUST00338,2024-03-25,Marketplace,Completed
ORD000002,CUST00582,03-02-2024,Mobile App,Returned
ORD000003,CUST00369,04/01/2025,Marketplace,Completed
ORD000004,CUST00427,2023-10-11,Web,Completed
ORD000005,CUST00891,15/09/2023,Marketplace,Pending
ORD000006,CUST00472,2025-03-08,Mobile App,Completed
ORD000007,CUST00452,17/03/2023,Marketplace,Completed
ORD000008,CUST00365,01/02/2024,Web,Completed
ORD000009,CUST00954,14/04/2024,Web,Pending
ORD000010,CUST00970,07/05/2025,Mobile App,Completed
ORD000011,CUST00872,27/06/2024,Mobile App,Pending
ORD000012,CUST00026,12-10-2024,Mobile App,Completed
ORD000013,CUST00941,05-28-2025,Marketplace,Cancelled
ORD000014,CUST00831,09/07/2023,Marketplace,Completed
ORD000015,CUST00067,31/10/2023,Mobile App,Returned
ORD000016,CUST00749,04-21-2024,Web,Completed
ORD000017,CUST00430,02-10-2025,Web,Completed
ORD000018,CUST01092,10/07/2025,Mobile App,Cancelled
ORD000019,CUST01017,2023-06-04,Marketplace,Returned
ORD000020,CUST00271,30/04/2024,Mobile App,Completed
ORD000021,CUST00476,05-04-2025,Marketplace,Completed
ORD000022,CUST00591,2025-02-27,Web,Completed
ORD000023,CUST00758,2023-07-08,Marketplace,Returned
ORD000024,CUST00333,30/06/2024,Web,Completed
ORD000025,CUST00906,12-13-2023,Web,Returned
ORD000026,CUST00570,2023-07-20,Web,Cancelled
ORD000027,CUST00720,12/11/2023,Marketplace,Completed
ORD000028,CUST00177,2023-05-28,Mobile App,Completed
ORD000029,CUST00381,02/05/2025,Mobile App,Cancelled
ORD000030,CUST00502,2023-01-30,Mobile App,Completed
ORD000031,CUST00529,10-05-2024,Mobile App,Returned
ORD000032,CUST00532,06-16-2023,Web,Completed
ORD000033,CUST00376,2025-02-22,Marketplace,Pending
ORD000034,CUST00743,04-09-2023,Marketplace,Completed
ORD000035,CUST00210,2023-08-12,Marketplace,Completed
ORD000036,CUST00239,2025-04-18,Web,Completed
ORD000037,CUST00292,2024-12-05,Mobile App,Completed
ORD000038,CUST00884,2023-02-13,Web,Completed
ORD000039,CUST00618,2024-11-14,Web,Pending
ORD000040,CUST00720,2023-01-30,Web,Pending
ORD000041,CUST01084,08-11-2023,Web,Completed
ORD000042,CUST00901,2024-11-20,Web,Pending
ORD000043,CUST00591,07-24-2024,Web,Completed
ORD000044,CUST00975,26/11/2024,Web,Completed
ORD000045,CUST00828,2023-05-06,Mobile App,Returned
ORD000046,CUST00276,2023-01-31,Marketplace,Completed
ORD000047,CUST00670,06/06/2023,Marketplace,Cancelled
ORD000048,CUST00414,10-28-2023,Mobile App,Completed
ORD000049,CUST00942,2023-02-06,Web,Cancelled
ORD000050,CUST00975,2024-07-29,Marketplace,Completed
ORD000051,CUST00732,26/02/2024,Web,Returned
ORD000052,CUST00348,01-21-2023,Mobile App,Completed
ORD000053,CUST00689,05-23-2024,Marketplace,Completed
ORD000054,CUST00589,2023-09-29,Mobile App,Cancelled
ORD000055,CUST00410,29/02/2024,Mobile App,Cancelled
ORD000056,CUST00411,09/01/2024,Web,Completed
ORD000057,CUST00547,23/04/2025,Marketplace,Completed
ORD000058,CUST00414,13/06/2023,Web,Completed
ORD000059,CUST00834,07/07/2025,Marketplace,Returned
ORD000060,CUST01025,05-04-2023,Marketplace,Pending
ORD000061,CUST00219,2023-06-29,Mobile App,Completed
ORD000062,CUST00632,01-22-2023,Marketplace,Completed
ORD000063,CUST00744,07-13-2025,Web,Cancelled
ORD000064,CUST00483,2023-11-01,Web,Completed
ORD000065,CUST00206,2025-04-24,Marketplace,Completed
ORD000066,CUST00670,04-09-2024,Web,Pending
ORD000067,CUST00821,07-24-2023,Mobile App,Completed
ORD000068,CUST00267,05-17-2025,Marketplace,Completed
