segment,region,customers,orders,revenue,avg_order_value,revenue_per_customer
Business,Central,50,186,423453.66,2276.63,8469.07
Business,East,40,143,289648.63,2025.51,7241.22
Business,North,38,149,294445.83,1976.15,7748.57
Business,South,47,176,404489.9,2298.24,8606.17
Business,West,41,147,324113.01,2204.85,7905.2
Consumer,Central,137,517,1100914.1,2129.43,8035.87
Consumer,East,143,549,1206767.65,2198.12,8438.93
Consumer,North,128,503,1057621.61,2102.63,8262.67
Consumer,South,130,503,1054936.41,2097.29,8114.9
Consumer,West,158,603,1258763.24,2087.5,7966.86
VIP,Central,61,258,551150.66,2136.24,9035.26
VIP,East,63,249,541210.25,2173.54,8590.64
VIP,North,53,211,445602.06,2111.86,8407.59
VIP,South,42,171,389610.69,2278.43,9276.44
VIP,West,43,163,356728.36,2188.52,8296.01
