year,month,month_name,revenue,margin,orders,avg_order_value,revenue_mom_growth_pct
2023,1,January,310172.49,140407.13,150,2067.82,
2023,2,February,245040.1,113538.85,114,2149.47,-21.0
2023,3,March,338573.81,148436.58,160,2116.09,38.17
2023,4,April,292100.15,135127.07,130,2246.92,-13.73
2023,5,May,269081.36,124830.37,139,1935.84,-7.88
2023,6,June,303597.83,141918.12,141,2153.18,12.83
2023,7,July,362848.65,166097.66,164,2212.49,19.52
2023,8,August,288644.31,130168.33,151,1911.55,-20.45
2023,9,September,320264.96,145506.35,147,2178.67,10.95
2023,10,October,411398.57,186595.37,172,2391.85,28.46
2023,11,November,251234.8,118740.79,126,1993.93,-38.93
2023,12,December,363229.1,164600.61,156,2328.39,44.58
2024,1,January,364908.79,164929.07,156,2339.16,0.46
2024,2,February,264637.96,121291.2,136,1945.87,-27.48
2024,3,March,281216.27,128515.36,145,1939.42,6.26
2024,4,April,293246.42,134180.18,139,2109.69,4.28
2024,5,May,307530.01,138040.4,143,2150.56,4.87
2024,6,June,308425.54,142426.83000000002,137,2251.28,0.29
2024,7,July,314248.49,145063.26,145,2167.23,1.89
2024,8,August,359727.61,166103.43,165,2180.17,14.47
2024,9,September,322864.82,147324.15,156,2069.65,-10.25
2024,10,October,336921.52,158922.45,151,2231.27,4.35
2024,11,November,254578.76,115185.1,127,2004.56,-24.44
2024,12,December,293537.01,135779.1,132,2223.77,15.3
2025,1,January,276892.52,125362.11,136,2035.97,-5.67
2025,2,February,217200.15,97979.06999999999,105,2068.57,-21.56
2025,3,March,292495.34,136753.29,144,2031.22,34.67
2025,4,April,299735.06,136936.93,133,2253.65,2.48
2025,5,May,289522.47,133429.75,138,2097.99,-3.41
2025,6,June,285346.23,128625.6,137,2082.82,-1.44
2025,7,July,368872.98,166426.6,160,2305.46,29.27
2025,8,August,107255.8,50230.6,49,2188.89,-70.92
2025,9,September,27313.03,12361.89,11,2483.0,-74.53
2025,10,October,22291.07,10008.05,12,1857.59,-18.39
2025,11,November,25343.6,11387.59,9,2815.96,13.69
2025,12,December,29158.48,14269.0,12,2429.87,15.05
