product_name,category,revenue,units_sold,margin,revenue_rank
Kitchen Same,Beauty,162323.44,244,96292.16,1
There Tough,Sports & Outdoors,160093.34,253,92663.78,2
Some Finish,Home & Kitchen,158773.48,271,82920.58,3
Entire Prove,Books,149027.12,253,87090.18999999999,4
Part Address,Toys & Games,135725.25,219,70191.69,5
Several Region,Apparel,135314.19999999998,266,71128.4,6
Want Week,Books,134298.24,226,75104.31999999999,7
Include Data,Apparel,131994.69,291,76442.79,8
Work Participant,Toys & Games,127825.59999999999,224,62231.68,9
House Though,Grocery,120421.36,248,61288.24,10
Science Pressure,Books,120353.1,210,59390.1,11
Particular Bill,Books,119962.56999999999,241,62382.85,12
Option Stay,Apparel,119951.04000000001,222,60519.42000000001,13
Particular Practice,Home & Kitchen,117824.69,269,62332.68,14
Account Yard,Home & Kitchen,116222.40000000001,240,63643.2,15
Son Return,Grocery,113445.68,232,57816.719999999994,16
Eye Interview,Books,113331.2,256,45045.759999999995,17
Class Street,Electronics,111499.2,261,54924.84,18
Seven About,Home & Kitchen,109370.8,268,54002.00000000001,19
Create Then,Electronics,106937.36,281,30569.990000000005,20
Hour Cost,Apparel,106032.96,176,57265.12000000001,21
Manager Capital,Beauty,104381.86,242,53903.08,22
Government Conference,Grocery,103686.99,209,49043.94,23
Although Discover,Toys & Games,103210.01,151,61716.719999999994,24
Party Sure,Books,103175.41,223,57946.55,25
Technology Natural,Grocery,102454.59999999999,229,45028.26999999999,26
Happy Year,Beauty,101970.0,220,51750.6,27
Rate Admit,Sports & Outdoors,101578.49,263,45672.58000000001,28
Kind Network,Toys & Games,101550.05,229,41213.12999999999,29
Laugh Career,Apparel,100500.1,235,32465.250000000007,30
Walk Event,Electronics,98932.05,203,43255.24000000001,31
Wrong Similar,Books,97701.68,206,43097.259999999995,32
Low Later,Toys & Games,97067.95999999999,209,35749.450000000004,33
Have Student,Books,94562.15999999999,258,33963.119999999995,34
Join Report,Home & Kitchen,93905.3,223,36719.18000000001,35
Arm Best,Books,93733.5,226,43893.72,36
This Weight,Grocery,93141.51,231,55721.81999999999,37
Life Most,Sports & Outdoors,91093.09999999999,179,54526.979999999996,38
Protect Federal,Sports & Outdoors,90937.7,163,51750.87,39
Leave Hear,Apparel,90825.8,193,44160.33,40
Office Staff,Electronics,90085.65000000001,219,36045.21000000001,41
Happen Determine,Toys & Games,90031.43999999999,248,40490.95999999999,42
Build Structure,Sports & Outdoors,89873.68,206,48288.45999999999,43
Himself Admit,Grocery,89003.33,221,24345.360000000008,44
Federal Executive,Toys & Games,85801.46,227,50373.57000000001,45
Community Decide,Home & Kitchen,85514.4,240,21412.800000000007,46
Increase Them,Home & Kitchen,84837.28,236,42425.72,47
Decide Bank,Home & Kitchen,83363.98000000001,203,37189.600000000006,48
Dog Standard,Sports & Outdoors,82868.66,203,43789.130000000005,49
Body Behind,Toys & Games,82229.94,234,48428.64000000001,50
Front Out,Books,81443.59999999999,238,37308.88,51
Huge Direction,Toys & Games,80758.09999999999,218,34018.899999999994,52
Land Expect,Grocery,79627.45,245,45376.45,53
Car Protect,Electronics,79497.27,223,35057.83,54
Capital Scene,Electronics,76746.0,200,25846.000000000004,55
Cut Respond,Sports & Outdoors,76541.28,181,30663.21,56
We When,Electronics,74061.0,234,27438.839999999997,57
Effort Only,Electronics,72909.9,210,15023.400000000003,58
Lose Job,Electronics,72659.24,254,18722.34,59
Alone Region,Electronics,72482.82,218,37820.82,60
Occur Last,Home & Kitchen,71056.98,181,36610.869999999995,61
Skill Cup,Electronics,70464.24,198,39853.44,62
Join Alone,Toys & Games,69471.18000000001,219,27797.67000000001,63
Represent Investment,Grocery,69249.03,237,26581.92,64
Society Price,Toys & Games,67249.6,220,23984.4,65
Approach Suddenly,Home & Kitchen,67206.0,230,37402.59999999999,66
Bit Begin,Sports & Outdoors,67191.41,209,14310.229999999998,67
Feel Through,Beauty,67182.56,232,24056.079999999998,68
Writer Wish,Apparel,66503.19,169,28212.86,69
I Building,Apparel,66355.92,207,22966.649999999998,70
May North,Books,66045.0,210,23557.800000000003,71
With Control,Grocery,65314.31999999999,213,34991.63999999999,72
While Room,Apparel,65295.5,215,25490.4,73
Check Game,Grocery,65075.99999999999,165,18151.649999999998,74
Sit Individual,Home & Kitchen,64975.0,226,16278.780000000002,75
Black Property,Toys & Games,64734.6,210,21986.999999999996,76
Look Ok,Home & Kitchen,64136.8,208,26158.08,77
Treatment Free,Toys & Games,64129.060000000005,218,35287.66,78
Tv Seem,Apparel,63958.44,273,31553.34,79
Five Watch,Apparel,63733.61,281,28184.3,80
Free Address,Home & Kitchen,62515.52999999999,217,15830.15,81
Hospital Teach,Apparel,61311.54000000001,226,17112.720000000005,82
Material Different,Home & Kitchen,61209.72,246,23451.179999999997,83
Money Range,Beauty,60401.259999999995,218,24385.479999999996,84
Score Still,Apparel,59717.76,228,29831.52,85
Until Reason,Grocery,59373.0,225,31707.000000000004,86
Food Morning,Toys & Games,57988.8,240,24878.399999999998,87
Stuff Where,Books,56973.84,231,28796.459999999995,88
Model So,Electronics,56584.920000000006,212,22497.440000000006,89
City Watch,Home & Kitchen,56052.98,202,23484.520000000004,90
Practice Work,Apparel,55784.200000000004,268,20376.04,91
Necessary Southern,Home & Kitchen,55453.799999999996,174,27067.44,92
Choose Money,Grocery,54582.64000000001,232,30410.560000000005,93
Wall Picture,Grocery,53534.78,247,29874.65,94
Listen Purpose,Beauty,52072.049999999996,205,16268.799999999997,95
Western Tough,Toys & Games,50465.52,186,25591.74,96
Red Than,Beauty,49892.03999999999,198,26240.939999999995,97
On Physical,Beauty,47888.3,235,14158.75,98
Arm Development,Electronics,47223.0,270,19685.700000000004,99
Little Yes,Toys & Games,46815.76,188,10238.480000000003,100
Control Because,Electronics,46667.67,237,24885.0,101
System High,Toys & Games,46093.32,234,22192.559999999998,102
Administration Agree,Home & Kitchen,44845.51,233,13837.869999999997,103
Commercial Occur,Electronics,44316.08,229,23786.23,104
Government Build,Electronics,42847.9,218,7553.700000000001,105
Since Significant,Apparel,41902.88,202,20381.8,106
Its Body,Grocery,40218.2,220,18931.0,107
Door Movement,Electronics,38819.200000000004,224,20422.08,108
College Same,Home & Kitchen,36627.240000000005,212,13934.76,109
Wrong Provide,Electronics,33845.04,243,8903.519999999999,110
Compare Plant,Beauty,32949.58,214,17355.399999999998,111
Everyone Near,Home & Kitchen,32160.94,238,18994.78,112
Response Leave,Apparel,31255.340000000004,194,9368.260000000004,113
Figure Together,Books,30092.72,238,9353.4,114
Trip Agency,Electronics,29766.749999999996,215,16733.449999999997,115
Effort Above,Grocery,29618.96,227,9388.719999999998,116
Plan Friend,Electronics,29436.54,218,15076.88,117
Assume Would,Home & Kitchen,29317.050000000003,227,14657.390000000001,118
Difficult Relationship,Beauty,24478.440000000002,196,6291.599999999999,119
Practice Quickly,Home & Kitchen,24306.4,230,11957.700000000003,120
Tend Quite,Sports & Outdoors,24106.68,234,11002.68,121
Almost Plant,Grocery,23383.36,208,11645.92,122
White Majority,Electronics,22899.36,176,4982.560000000003,123
Tell Trip,Grocery,22461.42,183,9642.269999999999,124
House Station,Electronics,22452.3,234,11405.16,125
Strategy Law,Sports & Outdoors,21521.129999999997,219,7778.879999999999,126
Live Try,Beauty,21419.14,179,4161.75,127
Low World,Toys & Games,21314.04,201,6162.660000000003,128
Kind Meet,Sports & Outdoors,21214.620000000003,226,7611.680000000001,129
Within Off,Beauty,17624.670000000002,267,9029.940000000002,130
Situation That,Electronics,16243.079999999998,244,7329.759999999998,131
In Should,Apparel,16098.14,181,6521.43,132
Itself Whatever,Beauty,12904.19,221,7686.38,133
Sure Third,Beauty,12372.300000000001,233,3646.45,134
Deal Total,Grocery,11128.84,244,4909.28,135
Least I,Electronics,10933.26,214,5046.120000000001,136
He Them,Beauty,10822.000000000002,175,6230.000000000002,137
Receive Risk,Beauty,9951.08,193,2977.99,138
Item He,Grocery,9842.76,171,5263.38,139
Ten Site,Electronics,9133.300000000001,209,5026.450000000001,140
Kitchen Development,Electronics,8669.83,221,4274.139999999999,141
Test Action,Electronics,8458.199999999999,254,3637.2799999999993,142
Beat Fire,Apparel,8266.08,272,4931.36,143
Own Improve,Grocery,7829.88,284,4532.64,144
Later Guess,Apparel,4133.5,175,1708.0000000000002,145
Risk Step,Apparel,3858.15,255,1938.0000000000002,146
Change Authority,Books,3740.7999999999997,224,1823.3599999999997,147
Owner Law,Sports & Outdoors,3359.9399999999996,174,932.6399999999999,148
Everything Food,Home & Kitchen,2175.04,224,1283.5200000000002,149
Staff Husband,Beauty,930.8599999999999,218,174.39999999999986,150
